code,system,display,definition
DL,"http://terminology.hl7.org/CodeSystem/v2-0203",Driver's license number,Водительские права
PPN,"http://terminology.hl7.org/CodeSystem/v2-0203",Passport number,Паспорт
BRN,"http://terminology.hl7.org/CodeSystem/v2-0203",Breed Registry Number,Регистрационный номер породы
MR,"http://terminology.hl7.org/CodeSystem/v2-0203",Medical record number,Номер медицинской карты
MCN,"http://terminology.hl7.org/CodeSystem/v2-0203",Microchip Number,Номер микрочипа
EN,"http://terminology.hl7.org/CodeSystem/v2-0203",Employer number,Номер работодателя
TAX,"http://terminology.hl7.org/CodeSystem/v2-0203",Tax ID number,Идентификационный номер налогоплательщика
NIIP,"http://terminology.hl7.org/CodeSystem/v2-0203",National Insurance Payor Identifier (Payor),Национальный Страховой Идентификатор Плательщика (Плательщик)
PRN,"http://terminology.hl7.org/CodeSystem/v2-0203",Provider number,Номер провайдера
MD,"http://terminology.hl7.org/CodeSystem/v2-0203",Medical License number,Номер медицинской лицензии
DR,"http://terminology.hl7.org/CodeSystem/v2-0203",Donor Registration Number,Регистрационный номер донора
ACSN,"http://terminology.hl7.org/CodeSystem/v2-0203",Accession ID,Идентификационный номер
UDI,"http://terminology.hl7.org/CodeSystem/v2-0203",Universal Device Identifier,Универсальный идентификатор устройства
SNO,"http://terminology.hl7.org/CodeSystem/v2-0203",Serial Number,Серийный номер
SB,"http://terminology.hl7.org/CodeSystem/v2-0203",Social Beneficiary Identifier,Идентификатор льготника
PLAC,"http://terminology.hl7.org/CodeSystem/v2-0203",Placer Identifier,Идентификатор заказчика
FILL,"http://terminology.hl7.org/CodeSystem/v2-0203",Filler Identifier,Идентификатор исполнителя
JHN,"http://terminology.hl7.org/CodeSystem/v2-0203",Jurisdictional health number (Canada),Подведомственный медицинский идентификационный номер (Канада)
ENP,urn:CodeSystem:ru-identifier-type,ЕНП,urn:identity:enp:Patient,"Идентификатором в сфере обязательного медицинского страхования является ЕНП. Правила формирования ЕНП утверждены и контролируются ФОМС. Первые два фасета номера соответствуют территории, рассчитавшей ЕНП. ЕНП сохраняется неизменным в течение всей жизни застрахованного лица и может быть изменён только в случае несоответствия установленному правилу его вычисления. ЕНП застрахованного лица определяется в результате запроса в ЦС ЕРЗ. В случае объединения данных с разными ЕНП определяется главный ЕНП, используемый в дальнейшем."
SNILS,urn:CodeSystem:ru-identifier-type,СНИЛС,urn:identity:snils:Patient
1,urn:CodeSystem:type-of-document,Паспорт гражданина СССР,
2,urn:CodeSystem:type-of-document,Загранпаспорт гражданина СССР,
3,urn:CodeSystem:type-of-document,Свидетельство о рождении,
4,urn:CodeSystem:type-of-document,Удостоверение личности офицера,
5,urn:CodeSystem:type-of-document,Справка об освобождении из места лишения свободы,
6,urn:CodeSystem:type-of-document,Паспорт Минморфлота,
7,urn:CodeSystem:type-of-document,Военный билет,
8,urn:CodeSystem:type-of-document,Дипломатический паспорт,
9,urn:CodeSystem:type-of-document,Паспорт иностранного гражданина,
10,urn:CodeSystem:type-of-document,Свидетельство о регистрации ходатайства иммигранта о признании его беженцем,
11,urn:CodeSystem:type-of-document,Вид на жительство в РФ,
12,urn:CodeSystem:type-of-document,Удостоверение беженца,
13,urn:CodeSystem:type-of-document,Временное удостоверение личности гражданина РФ,
14,urn:CodeSystem:type-of-document,Паспорт гражданина РФ,
15,urn:CodeSystem:type-of-document,Загранпаспорт гражданина РФ,
16,urn:CodeSystem:type-of-document,"Свидетельство о рождении, выданное уполномоченным органом иностранного государства ",
17,urn:CodeSystem:type-of-document,Паспорт моряка,
18,urn:CodeSystem:type-of-document,Военный билет офицера запаса,
19,urn:CodeSystem:type-of-document,Иные документы,
20,urn:CodeSystem:type-of-document,"Временное удостоверение, выданное взамен военного билета",
21,urn:CodeSystem:type-of-document,Разрешение на временное проживание в РФ,
22,urn:CodeSystem:type-of-document,Свидетельство о предоставлении временного убежища на территории РФ,
23,urn:CodeSystem:type-of-document,Удостоверение личности военнослужащего РФ,
24,urn:CodeSystem:type-of-document,"Документы, подтверждающие факт регистрации по месту жительства (пребывания)",
25,urn:CodeSystem:type-of-document,Свидетельство о регистрации по месту жительства,
26,urn:CodeSystem:type-of-document,Вид на жительство иностранного гражданина,
27,urn:CodeSystem:type-of-document,Свидетельство о регистрации по месту пребывания,
28,urn:CodeSystem:type-of-document,Свидетельство о смерти,
