code,system,display,definition
004,urn:CodeSystem:citizenship,АФГАНИСТАН Переходное Исламское Государство Афганистан,
008,urn:CodeSystem:citizenship,АЛБАНИЯ Республика Албания,
010,urn:CodeSystem:citizenship,АНТАРКТИДА,
012,urn:CodeSystem:citizenship,АЛЖИР Алжирская Народная Демократическая Республика,
016,urn:CodeSystem:citizenship,АМЕРИКАНСКОЕ САМОА,
020,urn:CodeSystem:citizenship,АНДОРРА Княжество Андорра,
024,urn:CodeSystem:citizenship,АНГОЛА Республика Ангола,
028,urn:CodeSystem:citizenship,АНТИГУА И БАРБУДА,
031,urn:CodeSystem:citizenship,АЗЕРБАЙДЖАН Республика Азербайджан,
032,urn:CodeSystem:citizenship,АРГЕНТИНА Аргентинская Республика,
036,urn:CodeSystem:citizenship,АВСТРАЛИЯ,
040,urn:CodeSystem:citizenship,АВСТРИЯ Австрийская Республика,
044,urn:CodeSystem:citizenship,БАГАМЫ Содружество Багамы,
048,urn:CodeSystem:citizenship,БАХРЕЙН Королевство Бахрейн,
050,urn:CodeSystem:citizenship,БАНГЛАДЕШ Народная Республика Бангладеш,
051,urn:CodeSystem:citizenship,АРМЕНИЯ Республика Армения,
052,urn:CodeSystem:citizenship,БАРБАДОС,
056,urn:CodeSystem:citizenship,БЕЛЬГИЯ Королевство Бельгии,
060,urn:CodeSystem:citizenship,БЕРМУДЫ,
064,urn:CodeSystem:citizenship,БУТАН Королевство Бутан,
068,urn:CodeSystem:citizenship,БОЛИВИЯ МНОГОНАЦИОНАЛЬНОЕ ГОСУДАРСТВО Многонациональное Государство Боливия,
070,urn:CodeSystem:citizenship,БОСНИЯ И ГЕРЦЕГОВИНА,
072,urn:CodeSystem:citizenship,БОТСВАНА Республика Ботсвана,
074,urn:CodeSystem:citizenship,ОСТРОВ БУВЕ,
076,urn:CodeSystem:citizenship,БРАЗИЛИЯ Федеративная Республика Бразилия,
084,urn:CodeSystem:citizenship,БЕЛИЗ,
086,urn:CodeSystem:citizenship,БРИТАНСКАЯ ТЕРРИТОРИЯ В ИНДИЙСКОМ ОКЕАНЕ,
090,urn:CodeSystem:citizenship,СОЛОМОНОВЫ ОСТРОВА,
092,urn:CodeSystem:citizenship,"ВИРГИНСКИЕ ОСТРОВА, БРИТАНСКИЕ Британские Виргинские острова",
096,urn:CodeSystem:citizenship,БРУНЕЙ-ДАРУССАЛАМ,
100,urn:CodeSystem:citizenship,БОЛГАРИЯ Республика Болгария,
104,urn:CodeSystem:citizenship,МЬЯНМА Республика Союза Мьянма,
108,urn:CodeSystem:citizenship,БУРУНДИ Республика Бурунди,
112,urn:CodeSystem:citizenship,БЕЛАРУСЬ Республика Беларусь,
116,urn:CodeSystem:citizenship,КАМБОДЖА Королевство Камбоджа,
120,urn:CodeSystem:citizenship,КАМЕРУН Республика Камерун,
124,urn:CodeSystem:citizenship,КАНАДА,
132,urn:CodeSystem:citizenship,КАБО-ВЕРДЕ Республика Кабо-Верде,
136,urn:CodeSystem:citizenship,ОСТРОВА КАЙМАН,
140,urn:CodeSystem:citizenship,ЦЕНТРАЛЬНО-АФРИКАНСКАЯ РЕСПУБЛИКА,
144,urn:CodeSystem:citizenship,ШРИ-ЛАНКА Демократическая Социалистическая Республика Шри-Ланка,
148,urn:CodeSystem:citizenship,ЧАД Республика Чад,
152,urn:CodeSystem:citizenship,ЧИЛИ Республика Чили,
156,urn:CodeSystem:citizenship,КИТАЙ Китайская Народная Республика,
158,urn:CodeSystem:citizenship,ТАЙВАНЬ (КИТАЙ),
162,urn:CodeSystem:citizenship,ОСТРОВ РОЖДЕСТВА,
166,urn:CodeSystem:citizenship,КОКОСОВЫЕ (КИЛИНГ) ОСТРОВА,
170,urn:CodeSystem:citizenship,КОЛУМБИЯ Республика Колумбия,
174,urn:CodeSystem:citizenship,КОМОРЫ Союз Коморы,
175,urn:CodeSystem:citizenship,МАЙОТТА,
178,urn:CodeSystem:citizenship,КОНГО Республика Конго,
180,urn:CodeSystem:citizenship,"КОНГО, ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА Демократическая Республика Конго",
184,urn:CodeSystem:citizenship,ОСТРОВА КУКА,
188,urn:CodeSystem:citizenship,КОСТА-РИКА Республика Коста-Рика,
191,urn:CodeSystem:citizenship,ХОРВАТИЯ Республика Хорватия,
192,urn:CodeSystem:citizenship,КУБА Республика Куба,
196,urn:CodeSystem:citizenship,КИПР Республика Кипр,
203,urn:CodeSystem:citizenship,ЧЕШСКАЯ РЕСПУБЛИКА,
204,urn:CodeSystem:citizenship,БЕНИН Республика Бенин,
208,urn:CodeSystem:citizenship,ДАНИЯ Королевство Дания,
212,urn:CodeSystem:citizenship,ДОМИНИКА Содружество Доминики,
214,urn:CodeSystem:citizenship,ДОМИНИКАНСКАЯ РЕСПУБЛИКА,
218,urn:CodeSystem:citizenship,ЭКВАДОР Республика Эквадор,
222,urn:CodeSystem:citizenship,ЭЛЬ-САЛЬВАДОР Республика Эль-Сальвадор,
226,urn:CodeSystem:citizenship,ЭКВАТОРИАЛЬНАЯ ГВИНЕЯ Республика Экваториальная Гвинея,
231,urn:CodeSystem:citizenship,ЭФИОПИЯ Федеративная Демократическая Республика Эфиопия,
232,urn:CodeSystem:citizenship,ЭРИТРЕЯ Государство Эритрея,
233,urn:CodeSystem:citizenship,ЭСТОНИЯ Эстонская Республика,
234,urn:CodeSystem:citizenship,ФАРЕРСКИЕ ОСТРОВА,
238,urn:CodeSystem:citizenship,ФОЛКЛЕНДСКИЕ ОСТРОВА (МАЛЬВИНСКИЕ),
239,urn:CodeSystem:citizenship,ЮЖНАЯ ДЖОРДЖИЯ И ЮЖНЫЕ САНДВИЧЕВЫ ОСТРОВА,
242,urn:CodeSystem:citizenship,ФИДЖИ Республика Фиджи,
246,urn:CodeSystem:citizenship,ФИНЛЯНДИЯ Финляндская Республика,
248,urn:CodeSystem:citizenship,ЭЛАНДСКИЕ ОСТРОВА,
250,urn:CodeSystem:citizenship,ФРАНЦИЯ Французская Республика,
254,urn:CodeSystem:citizenship,ФРАНЦУЗСКАЯ ГВИАНА,
258,urn:CodeSystem:citizenship,ФРАНЦУЗСКАЯ ПОЛИНЕЗИЯ,
260,urn:CodeSystem:citizenship,ФРАНЦУЗСКИЕ ЮЖНЫЕ ТЕРРИТОРИИ,
262,urn:CodeSystem:citizenship,ДЖИБУТИ Республика Джибути,
266,urn:CodeSystem:citizenship,ГАБОН Габонская Республика,
268,urn:CodeSystem:citizenship,ГРУЗИЯ,
270,urn:CodeSystem:citizenship,ГАМБИЯ Республика Гамбия,
275,urn:CodeSystem:citizenship,"ПАЛЕСТИНА, ГОСУДАРСТВО Государство Палестина",
276,urn:CodeSystem:citizenship,ГЕРМАНИЯ Федеративная Республика Германия,
288,urn:CodeSystem:citizenship,ГАНА Республика Гана,
292,urn:CodeSystem:citizenship,ГИБРАЛТАР,
296,urn:CodeSystem:citizenship,КИРИБАТИ Республика Кирибати,
300,urn:CodeSystem:citizenship,ГРЕЦИЯ Греческая Республика,
304,urn:CodeSystem:citizenship,ГРЕНЛАНДИЯ,
308,urn:CodeSystem:citizenship,ГРЕНАДА,
312,urn:CodeSystem:citizenship,ГВАДЕЛУПА,
316,urn:CodeSystem:citizenship,ГУАМ,
320,urn:CodeSystem:citizenship,ГВАТЕМАЛА Республика Гватемала,
324,urn:CodeSystem:citizenship,ГВИНЕЯ Гвинейская Республика,
328,urn:CodeSystem:citizenship,ГАЙАНА Республика Гайана,
332,urn:CodeSystem:citizenship,ГАИТИ Республика Гаити,
334,urn:CodeSystem:citizenship,ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД,
336,urn:CodeSystem:citizenship,ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО - ГОРОД ВАТИКАН),
340,urn:CodeSystem:citizenship,ГОНДУРАС Республика Гондурас,
344,urn:CodeSystem:citizenship,ГОНКОНГ Специальный административный регион Китая Гонконг,
348,urn:CodeSystem:citizenship,ВЕНГРИЯ Венгрия,
352,urn:CodeSystem:citizenship,ИСЛАНДИЯ Республика Исландия,
356,urn:CodeSystem:citizenship,ИНДИЯ Республика Индия,
360,urn:CodeSystem:citizenship,ИНДОНЕЗИЯ Республика Индонезия,
364,urn:CodeSystem:citizenship,"ИРАН, ИСЛАМСКАЯ РЕСПУБЛИКА Исламская Республика Иран",
368,urn:CodeSystem:citizenship,ИРАК Республика Ирак,
372,urn:CodeSystem:citizenship,ИРЛАНДИЯ,
376,urn:CodeSystem:citizenship,ИЗРАИЛЬ Государство Израиль,
380,urn:CodeSystem:citizenship,ИТАЛИЯ Итальянская Республика,
384,urn:CodeSystem:citizenship,КОТ Д'ИВУАР Республика Кот д'Ивуар,
388,urn:CodeSystem:citizenship,ЯМАЙКА,
392,urn:CodeSystem:citizenship,ЯПОНИЯ,
398,urn:CodeSystem:citizenship,КАЗАХСТАН Республика Казахстан,
400,urn:CodeSystem:citizenship,ИОРДАНИЯ Иорданское Хашимитское Королевство,
404,urn:CodeSystem:citizenship,КЕНИЯ Республика Кения,
408,urn:CodeSystem:citizenship,"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА Корейская Народно-Демократическая Республика",
410,urn:CodeSystem:citizenship,"КОРЕЯ, РЕСПУБЛИКА Республика Корея",
414,urn:CodeSystem:citizenship,КУВЕЙТ Государство Кувейт,
417,urn:CodeSystem:citizenship,КИРГИЗИЯ Киргизская Республика,
418,urn:CodeSystem:citizenship,ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА,
422,urn:CodeSystem:citizenship,ЛИВАН Ливанская Республика,
426,urn:CodeSystem:citizenship,ЛЕСОТО Королевство Лесото,
428,urn:CodeSystem:citizenship,ЛАТВИЯ Латвийская Республика,
430,urn:CodeSystem:citizenship,ЛИБЕРИЯ Республика Либерия,
434,urn:CodeSystem:citizenship,ЛИВИЯ Ливия,
438,urn:CodeSystem:citizenship,ЛИХТЕНШТЕЙН Княжество Лихтенштейн,
440,urn:CodeSystem:citizenship,ЛИТВА Литовская Республика,
442,urn:CodeSystem:citizenship,ЛЮКСЕМБУРГ Великое Герцогство Люксембург,
446,urn:CodeSystem:citizenship,МАКАО Специальный административный регион Китая Макао,
450,urn:CodeSystem:citizenship,МАДАГАСКАР Республика Мадагаскар,
454,urn:CodeSystem:citizenship,МАЛАВИ Республика Малави,
458,urn:CodeSystem:citizenship,МАЛАЙЗИЯ,
462,urn:CodeSystem:citizenship,МАЛЬДИВЫ Мальдивская Республика,
466,urn:CodeSystem:citizenship,МАЛИ Республика Мали,
470,urn:CodeSystem:citizenship,МАЛЬТА Республика Мальта,
474,urn:CodeSystem:citizenship,МАРТИНИКА,
478,urn:CodeSystem:citizenship,МАВРИТАНИЯ Исламская Республика Мавритания,
480,urn:CodeSystem:citizenship,МАВРИКИЙ Республика Маврикий,
484,urn:CodeSystem:citizenship,МЕКСИКА Мексиканские Соединенные Штаты,
492,urn:CodeSystem:citizenship,МОНАКО Княжество Монако,
496,urn:CodeSystem:citizenship,МОНГОЛИЯ,
498,urn:CodeSystem:citizenship,"МОЛДОВА, РЕСПУБЛИКА Республика Молдова",
499,urn:CodeSystem:citizenship,ЧЕРНОГОРИЯ,
500,urn:CodeSystem:citizenship,МОНТСЕРРАТ,
504,urn:CodeSystem:citizenship,МАРОККО Королевство Марокко,
508,urn:CodeSystem:citizenship,МОЗАМБИК Республика Мозамбик,
512,urn:CodeSystem:citizenship,ОМАН Султанат Оман,
516,urn:CodeSystem:citizenship,НАМИБИЯ Республика Намибия,
520,urn:CodeSystem:citizenship,НАУРУ Республика Науру,
524,urn:CodeSystem:citizenship,НЕПАЛ Федеративная Демократическая Республика Непал,
528,urn:CodeSystem:citizenship,НИДЕРЛАНДЫ Королевство Нидерландов,
531,urn:CodeSystem:citizenship,КЮРАСАО,
533,urn:CodeSystem:citizenship,АРУБА,
534,urn:CodeSystem:citizenship,СЕН-МАРТЕН (нидерландская часть),
535,urn:CodeSystem:citizenship,"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА",
540,urn:CodeSystem:citizenship,НОВАЯ КАЛЕДОНИЯ,
548,urn:CodeSystem:citizenship,ВАНУАТУ Республика Вануату,
554,urn:CodeSystem:citizenship,НОВАЯ ЗЕЛАНДИЯ,
558,urn:CodeSystem:citizenship,НИКАРАГУА Республика Никарагуа,
562,urn:CodeSystem:citizenship,НИГЕР Республика Нигер,
566,urn:CodeSystem:citizenship,НИГЕРИЯ Федеративная Республика Нигерия,
570,urn:CodeSystem:citizenship,НИУЭ Ниуэ,
574,urn:CodeSystem:citizenship,ОСТРОВ НОРФОЛК,
578,urn:CodeSystem:citizenship,НОРВЕГИЯ Королевство Норвегия,
580,urn:CodeSystem:citizenship,СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА Содружество Северных Марианских островов,
581,urn:CodeSystem:citizenship,МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ,
583,urn:CodeSystem:citizenship,"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ Федеративные штаты Микронезии",
584,urn:CodeSystem:citizenship,МАРШАЛЛОВЫ ОСТРОВА Республика Маршалловы Острова,
585,urn:CodeSystem:citizenship,ПАЛАУ Республика Палау,
586,urn:CodeSystem:citizenship,ПАКИСТАН Исламская Республика Пакистан,
591,urn:CodeSystem:citizenship,ПАНАМА Республика Панама,
598,urn:CodeSystem:citizenship,ПАПУА НОВАЯ ГВИНЕЯ Независимое Государство Папуа Новая Гвинея,
600,urn:CodeSystem:citizenship,ПАРАГВАЙ Республика Парагвай,
604,urn:CodeSystem:citizenship,ПЕРУ Республика Перу,
608,urn:CodeSystem:citizenship,ФИЛИППИНЫ Республика Филиппины,
612,urn:CodeSystem:citizenship,ПИТКЕРН,
616,urn:CodeSystem:citizenship,ПОЛЬША Республика Польша,
620,urn:CodeSystem:citizenship,ПОРТУГАЛИЯ Португальская Республика,
624,urn:CodeSystem:citizenship,ГВИНЕЯ-БИСАУ Республика Гвинея-Бисау,
626,urn:CodeSystem:citizenship,ТИМОР-ЛЕСТЕ Демократическая Республика Тимор-Лесте,
630,urn:CodeSystem:citizenship,ПУЭРТО-РИКО,
634,urn:CodeSystem:citizenship,КАТАР Государство Катар,
638,urn:CodeSystem:citizenship,РЕЮНЬОН,
642,urn:CodeSystem:citizenship,РУМЫНИЯ,
643,urn:CodeSystem:citizenship,РОССИЯ Российская Федерация,
646,urn:CodeSystem:citizenship,РУАНДА Руандийская Республика,
652,urn:CodeSystem:citizenship,СЕН-БАРТЕЛЕМИ,
654,urn:CodeSystem:citizenship,"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ",
659,urn:CodeSystem:citizenship,СЕНТ-КИТС И НЕВИС,
660,urn:CodeSystem:citizenship,АНГИЛЬЯ,
662,urn:CodeSystem:citizenship,СЕНТ-ЛЮСИЯ,
663,urn:CodeSystem:citizenship,СЕН-МАРТЕН,
666,urn:CodeSystem:citizenship,СЕНТ-ПЬЕР И МИКЕЛОН,
670,urn:CodeSystem:citizenship,СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ,
674,urn:CodeSystem:citizenship,САН-МАРИНО Республика Сан-Марино,
678,urn:CodeSystem:citizenship,САН-ТОМЕ И ПРИНСИПИ Демократическая Республика Сан-Томе и Принсипи,
682,urn:CodeSystem:citizenship,САУДОВСКАЯ АРАВИЯ Королевство Саудовская Аравия,
686,urn:CodeSystem:citizenship,СЕНЕГАЛ Республика Сенегал,
688,urn:CodeSystem:citizenship,СЕРБИЯ Республика Сербия,
690,urn:CodeSystem:citizenship,СЕЙШЕЛЫ Республика Сейшелы,
694,urn:CodeSystem:citizenship,СЬЕРРА-ЛЕОНЕ Республика Сьерра-Леоне,
702,urn:CodeSystem:citizenship,СИНГАПУР Республика Сингапур,
703,urn:CodeSystem:citizenship,СЛОВАКИЯ Словацкая Республика,
704,urn:CodeSystem:citizenship,ВЬЕТНАМ Социалистическая Республика Вьетнам,
705,urn:CodeSystem:citizenship,СЛОВЕНИЯ Республика Словения,
706,urn:CodeSystem:citizenship,СОМАЛИ Федеративная Республика Сомали,
710,urn:CodeSystem:citizenship,ЮЖНАЯ АФРИКА Южно-Африканская Республика,
716,urn:CodeSystem:citizenship,ЗИМБАБВЕ Республика Зимбабве,
724,urn:CodeSystem:citizenship,ИСПАНИЯ Королевство Испания,
728,urn:CodeSystem:citizenship,ЮЖНЫЙ СУДАН Республика Южный Судан,
732,urn:CodeSystem:citizenship,ЗАПАДНАЯ САХАРА,
736,urn:CodeSystem:citizenship,СУДАН Республика Судан,
740,urn:CodeSystem:citizenship,СУРИНАМ Республика Суринам,
744,urn:CodeSystem:citizenship,ШПИЦБЕРГЕН И ЯН МАЙЕН,
748,urn:CodeSystem:citizenship,СВАЗИЛЕНД Королевство Свазиленд,
752,urn:CodeSystem:citizenship,ШВЕЦИЯ Королевство Швеция,
756,urn:CodeSystem:citizenship,ШВЕЙЦАРИЯ Швейцарская Конфедерация,
760,urn:CodeSystem:citizenship,СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА,
762,urn:CodeSystem:citizenship,ТАДЖИКИСТАН Республика Таджикистан,
764,urn:CodeSystem:citizenship,ТАИЛАНД Королевство Таиланд,
768,urn:CodeSystem:citizenship,ТОГО Тоголезская Республика,
772,urn:CodeSystem:citizenship,ТОКЕЛАУ,
776,urn:CodeSystem:citizenship,ТОНГА Королевство Тонга,
780,urn:CodeSystem:citizenship,ТРИНИДАД И ТОБАГО Республика Тринидад и Тобаго,
